,Household median gross income (Euro) by Electoral Division and Year,
,,
849,"077 Gallow, Co. Meath",61129
1226,"047 Calary, Co. Wicklow",61060
2570,"098 Rahasane, Co. Galway",61060
2371,"012 Ross, Co. Waterford",61059
605,"027 Timahoe, Co. Laois",61051
822,"050 Ardmulchan, Co. Meath",61028
1408,"151 Quin, Co. Clare",60925
2528,"056 Leacach Beag, Co. Galway",60924
435,"059 Bodenstown, Co. Kildare",60914
1021,"071 Gaybrook, Co. Westmeath",60882
820,"048 Stamullin, Co. Meath",60842
1302,"043 Templemaley, Co. Clare",60829
930,"067 Durrow, Co. Offaly",60828
1235,"056 Kilcoole, Co. Wicklow",60815
1010,"060 Castle, Co. Westmeath",60773
1731,"246 Ballintemple, Co. Cork",60734
2133,"122 Lismakeery, Co. Limerick",60731
606,"028 Ballyadams, Co. Laois",60720
2327,"005 Ballynakill, Waterford City",60702
1211,"032 Delgany, Co. Wicklow",60656
196,"142 Rathmines West E, Dublin City",60649
133,"079 Phoenix Park, Dublin City",60561
1024,"074 Griffinstown, Co. Westmeath",60542
1748,"263 Templebodan, Co. Cork",60415
1579,"094 Knockantota, Co. Cork",60360
322,"015 Blackrock-Stradbrook, Dún Laoghaire-Rathdown",60325
233,"017 Lucan-St. Helen's, South Dublin",60312
971,"021 Drumraney, Co. Westmeath",60210
358,"051 Dún Laoghaire-Salthill, Dún Laoghaire-Rathdown",60196
2122,"111 Ballynacarriga, Co. Limerick",60195
1623,"138 Kildinan, Co. Cork",60192
2596,"124 Lackalea, Co. Galway",60192
291,"026 Kinsaley, Fingal",60188
1200,"021 Kilbride, Co. Wicklow",60169
307,"042 Turnapin, Fingal",60132
1297,"038 Kilraghtis, Co. Clare",60108
367,"060 Shankill-Rathmichael, Dún Laoghaire-Rathdown",60059
1679,"194 Nohaval, Co. Cork",60055
2028,"016 Garrane, Co. Limerick",60048
1577,"092 Inishkenny, Co. Cork",60000
558,"093 Glashare, Co. Kilkenny",59997
293,"028 Lusk, Fingal",59784
603,"025 Raheen, Co. Laois",59767
2185,"038 Kilcomenty, North Tipperary",59749
1054,"105 Tullaghan, Co. Westmeath",59730
430,"054 Thomastown, Co. Kildare",59703
1154,"099 Carrick, Co. Wexford",59693
283,"018 Clonmethan, Fingal",59584
237,"021 Rathcoole, South Dublin",59582
303,"038 Swords-Lissenhall, Fingal",59577
767,"038 Dysart, Co. Louth",59455
2184,999Greenhall / Lackagh,59446
832,"060 Tara, Co. Meath",59407
2928,"016 Kiltoom, Co. Roscommon",59396
419,"043 Cadamstown, Co. Kildare",59350
2917,"005 Carnagh, Co. Roscommon",59347
2515,"043 Ballynacourty, Co. Galway",59343
2402,"043 Fox's Castle, Co. Waterford",59291
1671,"186 Farranbrien, Co. Cork",59236
598,"020 Grantstown, Co. Laois",59214
80,"026 Beaumont F, Dublin City",59198
1513,"027 Moviddy, Co. Cork",59172
1686,"201 Cannaway, Co. Cork",59154
1984,"010 Castle C, Limerick City",59108
2408,"049 Mountkennedy, Co. Waterford",59105
1567,"082 Carrigaline, Co. Cork",59099
611,"033 Luggacurren, Co. Laois",59088
599,"021 Kilcoke, Co. Laois",59052
489,"024 Attanagh, Co. Kilkenny",59041
826,"054 Kentstown, Co. Meath",59033
1586,"101 Rathcooney (Part Rural), Co. Cork",59031
2468,"017 Rockbarton, Galway City",59005
414,"038 Kilcock, Co. Kildare",58972
964,"014 Moydrum (Part Urban), Co. Westmeath",58965
404,"028 Moone, Co. Kildare",58948
961,"011 Killinure, Co. Westmeath",58912
1544,"059 Castleventry, Co. Cork",58910
1692,"207 Gowlane, Co. Cork",58862
2591,"119 Killogilleen, Co. Galway",58860
790,"018 Skreen, Co. Meath",58849
580,"002 Aghmacart, Co. Laois",58822
768,"039 Monasterboice, Co. Louth",58819
2197,"051 Youghalarra, North Tipperary",58818
570,"105 Kilcolumb, Co. Kilkenny",58762
947,"084 Silverbrook, Co. Offaly",58750
274,"009 Blanchardstown-Blakestown, Fingal",58709
2514,"042 Baile an Teampaill (Part Rural), Co. Galway",58709
587,"009 Clonkeen, Co. Laois",58693
860,"088 Rahinstown, Co. Meath",58686
141,"087 Raheny-St. Assam, Dublin City",58684
2033,"021 Fleanmore, Co. Limerick",58673
314,"007 Ballybrack, Dún Laoghaire-Rathdown",58667
96,"042 Clontarf West A, Dublin City",58613
2014,"002 Adare North, Co. Limerick",58600
638,"061 Kilmurry, Co. Laois",58548
2663,"192 Cummer, Co. Galway",58535
272,"007 Balscadden, Fingal",58510
2924,"012 Culliagh, Co. Roscommon",58488
300,"035 Sutton, Fingal",58475
2581,"109 Craughwell, Co. Galway",58475
1645,"160 Gortmore, Co. Cork",58422
1288,"029 Doora (Part Urban), Co. Clare",58373
2537,"065 Tulaigh Mhic Aodháin, Co. Galway",58347
780,"008 Donaghmore, Co. Meath",58339
2619,"148 Taghboy, Co. Galway",58335
2172,"025 Aghnameadle, North Tipperary",58314
892,"028 Mounterin, Co. Offaly",58264
590,"012 Cullahill, Co. Laois",58235
306,"041 The Ward, Fingal",58226
